id,type,part_of_speech,native_frequency_rating,native_frequency_label,native_frequency_notes,rated_by,rated_at,corpus_rank,register,regional_labels,contexts,tags,gender,plural,genitive_singular,is_reflexive,is_separable,auxiliary,present_er_sie_es,praeteritum,partizip_ii,valency,collocations,synonyms,antonyms,false_friends,word_family,mnemonic_hint,approved_by_native,connector_function,verb_position_effect,highlighted_example,noun_article_rule,review_status
vocab-b2-abbestellen-000323ed6c,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-abbrechen-0fd0d37f1a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-aberglaeubisch-67ea972667,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ablegen-0e5ccbd15a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-abreisen-anreisen-07a9ac9749,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-absagen-e6e02a0658,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-absagen-termin-1ce261bbf9,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-absolvieren-dc64515e92,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-abziehen-62d1b88d2a,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-ahnen-5250bdedb2,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-aktualisieren-7bc736532f,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-allmaehlich-ae25ee6331,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-altmodisch-61191048a4,vocabulary,adjective,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-andauern-85ab995230,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-anerkennen-lassen-4de0661a85,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-anfallen-9ca752e63d,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-anfordern-51117527ec,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angebote-vergleichen-d334d27b68,vocabulary,noun,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angeln-d0aba0b49b,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angemessen-6709f54504,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angemessen-bezahlt-werden-672ff93aea,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angemessen-c95cf1b7f6,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-angewiesen-sein-auf-bbedfd0f40,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-animieren-zu-dat-c496eb2270,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vocab-b2-annehmen-8f7c66649b,vocabulary,verb,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
